CNPJ_COMPLETO;valor_real;PORTE;cnpj_basico;CEP;situacao_cadastral_atual;data_situacao_cadastral_atual;DT_ABERTURA;DT_FECHAMENTO;data_reabertura;situacao_fechamento;numero_posts;tem_instagram;cnae_fiscal_principal;nome_municipio
00.063.960/0274-81;0;5.0;63960.0;91060410.0;2.0;20230830.0;20230830.0;20140922.0;20201230.0;8.0;0;0;4771701.0;SANTO ANGELO
00.063.960/0274-81;0;5.0;63960.0;91060410.0;2.0;20230830.0;20230830.0;20210315.0;20220805.0;8.0;0;0;4771701.0;SANTO ANGELO
00.090.226/0003-92;1;5.0;90226.0;95914014.0;2.0;20230814.0;20230814.0;20091019.0;20221010.0;8.0;639;1;5611203.0;LAJEADO
00.106.409/0002-78;0;5.0;106409.0;94910100.0;8.0;20100909.0;20091126.0;;;;0;0;4634601.0;CACHOEIRINHA
00.106.411/0001-66;1;1.0;106411.0;95041034.0;2.0;20050820.0;19940706.0;;;;1;1;4530701.0;CAXIAS DO SUL
00.115.150/0001-40;1;5.0;115150.0;95703205.0;2.0;20050108.0;19940718.0;;;;428;1;6203100.0;BENTO GONCALVES
00.119.712/0001-24;1;3.0;119712.0;96065240.0;2.0;20041023.0;19940721.0;;;;17;1;4663000.0;PELOTAS
00.137.516/0001-82;1;3.0;137516.0;95013090.0;8.0;20230327.0;20090901.0;;;;2067;1;4721102.0;CAXIAS DO SUL
00.169.604/0001-66;1;3.0;169604.0;95360000.0;8.0;20180625.0;20000413.0;;;;128;1;4751201.0;VERANOPOLIS
00.196.526/0012-41;0;5.0;196526.0;90810240.0;8.0;20230320.0;20130222.0;;;;0;0;8630502.0;SAPUCAIA DO SUL
00.219.545/0003-55;1;1.0;219545.0;99010030.0;2.0;20240123.0;20240123.0;;;;336;1;4930202.0;PASSO FUNDO
00.220.583/0005-90;0;3.0;220583.0;95096763.0;2.0;20240119.0;20240119.0;20160119.0;20160316.0;8.0;620;1;4110700.0;CAXIAS DO SUL
00.220.583/0005-90;0;3.0;220583.0;95096763.0;2.0;20240119.0;20240119.0;20190403.0;20190816.0;8.0;620;1;4110700.0;CAXIAS DO SUL
00.230.751/0001-02;1;5.0;230751.0;90630000.0;2.0;20051103.0;19940930.0;;;;211;1;7120100.0;PORTO ALEGRE
00.237.003/0107-00;0;5.0;237003.0;90610000.0;8.0;20201125.0;20180124.0;;;;0;0;7711000.0;PORTO ALEGRE
00.243.167/0001-83;1;3.0;243167.0;99062480.0;2.0;20151113.0;20151113.0;;;;97;1;7733100.0;PASSO FUNDO
00.258.246/0003-20;0;5.0;258246.0;91330000.0;8.0;20190129.0;20170725.0;;;;0;0;4751201.0;PORTO ALEGRE
00.283.514/0001-00;1;1.0;283514.0;93806338.0;2.0;20051103.0;19941104.0;;;;34;1;7112000.0;SAPIRANGA
00.307.800/0001-50;0;5.0;307800.0;93180000.0;4.0;20210323.0;19941122.0;;;;0;0;4789099.0;PORTAO
00.357.579/0001-44;1;3.0;357579.0;94160260.0;8.0;20201023.0;20151222.0;;;;38;1;7719599.0;ESTEIO
00.357.579/0002-25;0;3.0;357579.0;94160260.0;8.0;20201023.0;20151222.0;;;;38;1;7719599.0;ESTEIO
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;19870507.0;20051103.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20090527.0;20090901.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20091127.0;20100826.0;3.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20130610.0;20140217.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20150728.0;20170623.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20180605.0;20190822.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20190925.0;20191007.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20191009.0;20200417.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20210602.0;20210618.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20211018.0;20211109.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20211217.0;20220117.0;8.0;1590;1;6423900.0;CANOAS
00.360.305/3302-44;0;5.0;360305.0;90020007.0;2.0;20250721.0;20250721.0;20220325.0;20230614.0;8.0;1590;1;6423900.0;CANOAS
00.376.982/0005-44;1;5.0;376982.0;98240000.0;2.0;20241125.0;20241125.0;;;;725;1;1066000.0;SANTA BARBARA DO SUL
00.411.002/0003-35;0;5.0;411002.0;96400970.0;8.0;20161122.0;20060918.0;;;;0;0;4930202.0;BAGE
00.411.301/0001-08;1;5.0;411301.0;90540010.0;2.0;20041224.0;19950127.0;;;;119;1;4649403.0;PORTO ALEGRE
00.439.912/0001-64;1;3.0;439912.0;95975000.0;2.0;20011006.0;19950208.0;;;;366;1;1412601.0;PUTINGA
00.465.453/0003-55;1;5.0;465453.0;99580000.0;2.0;20230509.0;20230509.0;20190924.0;20230509.0;8.0;1187;1;3101200.0;PASSO FUNDO
00.489.676/0001-90;1;3.0;489676.0;92709800.0;2.0;20040619.0;19950316.0;;;;0;0;4930202.0;GUAIBA
00.509.026/0005-93;1;5.0;509026.0;90550140.0;2.0;20031004.0;19810928.0;;;;1999;1;9412099.0;PORTO ALEGRE
00.512.777/0040-41;1;5.0;512777.0;95098420.0;2.0;20240911.0;20240911.0;;;;1382;1;5111100.0;SANTA MARIA
00.528.138/0002-49;0;3.0;528138.0;95084460.0;8.0;20190822.0;20181121.0;;;;1396;1;4530703.0;CAXIAS DO SUL
00.568.802/0003-64;0;5.0;568802.0;95778000.0;2.0;20230314.0;20230314.0;20020321.0;20040402.0;8.0;0;0;4744005.0;SAO JOSE DO HORTENCIO
00.568.802/0003-64;0;5.0;568802.0;95778000.0;2.0;20230314.0;20230314.0;20160524.0;20230314.0;8.0;0;0;4744005.0;SAO JOSE DO HORTENCIO
00.579.301/0001-11;1;3.0;579301.0;91530000.0;8.0;20170105.0;20111003.0;;;;64;1;7020400.0;PORTO ALEGRE
00.594.488/0001-22;0;5.0;594488.0;90570110.0;8.0;20190814.0;19950511.0;;;;0;0;4613300.0;PORTO ALEGRE
00.606.549/0029-25;0;5.0;606549.0;95700010.0;8.0;20170915.0;19971209.0;20061030.0;20071127.0;8.0;0;0;1621800.0;ENCRUZILHADA DO SUL
00.616.192/0001-65;1;3.0;616192.0;96842500.0;2.0;20040612.0;19950523.0;;;;49;1;4611700.0;SANTA CRUZ DO SUL
00.656.734/0001-23;0;1.0;656734.0;94814510.0;8.0;20210113.0;19950606.0;;;;0;0;7420001.0;ALVORADA
00.680.933/0007-62;0;5.0;680933.0;92420040.0;8.0;20201112.0;19990715.0;;;;772;1;4930202.0;CANOAS
00.696.155/0002-95;0;1.0;696155.0;93950000.0;8.0;20220908.0;20190904.0;;;;1416;1;4763602.0;DOIS IRMAOS
00.697.991/0001-03;0;3.0;697991.0;90690380.0;8.0;20221103.0;19950705.0;;;;0;0;4683400.0;PORTO ALEGRE
00.763.006/0001-10;1;5.0;763006.0;90010050.0;2.0;20051103.0;19950710.0;;;;27;1;8541400.0;PORTO ALEGRE
00.799.810/0001-50;1;1.0;799810.0;98801590.0;2.0;20151119.0;20151119.0;;;;2;1;6190699.0;SANTO ANGELO
00.805.316/0001-50;1;1.0;805316.0;99260000.0;2.0;20001223.0;19950904.0;;;;417;1;4783101.0;CASCA
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20080211.0;20090911.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20100812.0;20110805.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20120305.0;20120601.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20121206.0;20130311.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20130311.0;20130611.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20130910.0;20131205.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20140415.0;20150727.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20150727.0;20150824.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20151016.0;20160331.0;3.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20160331.0;20160629.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20161019.0;20170406.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20170406.0;20180529.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20180529.0;20181022.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20181022.0;20200618.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20200618.0;20210506.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20220414.0;20221221.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20221221.0;20230405.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20230405.0;20231130.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20240426.0;20240805.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.810.559/0067-03;0;5.0;810559.0;99930000.0;2.0;20250602.0;20250602.0;20250313.0;20250402.0;8.0;949;1;5620101.0;NOVO HAMBURGO
00.825.235/0002-01;0;5.0;825235.0;90560001.0;2.0;20051103.0;19950919.0;20040624.0;20051103.0;8.0;1027;1;4651601.0;PORTO ALEGRE
00.834.554/0001-94;1;1.0;834554.0;97513450.0;2.0;20031025.0;19951002.0;;;;56;1;4930202.0;URUGUAIANA
